iter	RMSE
0	6106.3391
1	5794.57179
2	5500.592438
3	5229.8439
4	4995.614323
5	4775.991581
6	4568.279446
7	4377.137295
8	4204.62935
9	4036.755499
10	3885.912344
11	3754.053991
12	3628.93123
13	3513.272156
14	3406.120456
15	3304.794737
16	3217.194823
17	3139.139387
18	3064.659061
19	2995.853114
20	2938.182753
21	2878.45872
22	2825.372195
23	2774.065892
24	2728.279766
25	2686.271922
26	2648.00402
27	2609.865265
28	2580.069952
29	2547.577121
30	2520.360992
31	2490.800913
32	2465.142427
33	2443.595662
34	2422.687722
35	2401.435674
36	2382.202952
37	2364.775945
38	2346.977592
39	2333.125483
40	2316.418848
41	2300.398938
42	2288.532247
43	2278.288885
44	2267.99716
45	2255.941771
46	2247.235076
47	2237.215055
48	2226.838844
49	2216.477145
50	2207.740868
51	2199.061899
52	2193.118007
53	2185.491768
54	2177.499609
55	2170.30423
56	2163.975388
57	2158.476221
58	2152.071838
59	2145.777377
60	2139.435445
61	2133.99614
62	2129.14393
63	2124.585385
64	2120.334394
65	2115.860174
66	2111.083184
67	2106.281984
68	2101.324085
69	2095.686486
70	2089.178204
71	2086.454507
72	2082.34325
73	2078.394386
74	2074.223847
75	2070.703416
76	2067.634359
77	2064.972032
78	2062.316959
79	2058.878904
80	2055.214297
81	2051.737383
82	2046.486717
83	2043.426043
84	2041.151057
85	2039.459481
86	2036.423829
87	2034.098063
88	2032.544531
89	2030.65386
90	2027.390046
91	2025.880684
92	2023.464083
93	2021.557439
94	2018.879567
95	2016.952763
96	2015.637298
97	2013.251984
98	2011.976201
99	2010.243293
100	2006.84216
101	2005.085877
102	2001.333819
103	1997.84889
104	1995.807601
105	1993.738937
106	1991.113182
107	1988.723053
108	1987.124737
109	1985.733156
110	1983.967446
111	1982.602702
112	1980.459033
113	1978.32228
114	1975.897946
115	1974.286462
116	1971.491415
117	1968.441035
118	1967.230489
119	1965.449176
120	1963.334967
121	1962.229312
122	1960.423172
123	1959.156032
124	1956.562344
125	1954.579607
126	1952.50228
127	1950.881282
128	1949.482728
129	1947.125152
130	1944.47542
131	1941.846447
132	1940.463873
133	1938.803187
134	1938.05628
135	1936.895019
136	1935.884481
137	1934.727294
138	1933.091553
139	1931.26068
140	1929.32152
141	1928.079732
142	1927.038477
143	1925.821627
144	1924.702755
145	1923.587518
146	1922.911958
147	1920.840989
148	1919.564286
149	1917.742387
150	1917.034432
151	1916.180612
152	1914.890386
153	1913.717994
154	1912.336624
155	1911.414956
156	1910.391844
157	1908.995017
158	1907.146189
159	1905.7496
160	1904.454446
161	1903.494596
162	1902.2537
163	1901.094654
164	1899.379965
165	1898.2514
166	1896.897382
167	1895.976029
168	1894.61417
169	1893.458911
170	1892.179211
171	1890.419299
172	1889.286056
173	1888.488619
174	1887.688094
175	1886.123623
176	1885.256721
177	1884.19364
178	1883.183091
179	1881.024867
180	1879.82797
181	1878.854614
182	1877.742901
183	1876.913082
184	1875.778705
185	1874.013325
186	1872.434379
187	1871.522566
188	1870.495207
189	1869.616136
190	1868.110102
191	1867.326677
192	1865.728911
193	1865.269849
194	1864.617462
195	1863.83913
196	1863.181304
197	1862.02305
198	1861.28386
199	1860.417609
200	1859.363412
201	1857.641273
202	1856.914753
203	1856.017827
204	1854.289941
205	1853.589155
206	1852.927286
207	1851.922953
208	1851.012159
209	1849.620875
210	1848.23359
211	1847.330604
212	1846.695842
213	1845.766598
214	1844.224026
215	1843.115095
216	1841.81779
217	1841.098365
218	1840.521601
219	1839.641
220	1838.820252
221	1837.767636
222	1836.494527
223	1835.73251
224	1835.102043
225	1834.456075
226	1833.672778
227	1833.020929
228	1831.744819
229	1830.641924
230	1829.008938
231	1827.821564
232	1826.713116
233	1826.176891
234	1824.640074
235	1823.980842
236	1823.275058
237	1822.826224
238	1821.447765
239	1820.749857
240	1819.457628
241	1818.862195
242	1818.151694
243	1816.769594
244	1815.703782
245	1814.591498
246	1813.590681
247	1813.090098
248	1812.655667
249	1811.849687
250	1810.619424
251	1809.973209
252	1808.96325
253	1808.431732
254	1807.716237
255	1806.701384
256	1805.660945
257	1804.634334
258	1803.35944
259	1802.690146
260	1801.699843
261	1801.079475
262	1800.461358
263	1799.467359
264	1798.779947
265	1797.709318
266	1796.568107
267	1795.701461
268	1794.796219
269	1793.974119
270	1793.352091
271	1792.83743
272	1792.365275
273	1791.876792
274	1790.999033
275	1790.292512
276	1789.285952
277	1788.678735
278	1788.062126
279	1787.008461
280	1786.25773
281	1785.800042
282	1785.379959
283	1784.832187
284	1784.208588
285	1783.099915
286	1782.229065
287	1781.610176
288	1781.239261
289	1780.690483
290	1779.697738
291	1778.956946
292	1778.314489
293	1777.963234
294	1777.511483
295	1776.79418
296	1776.492989
297	1776.043891
298	1774.804836
299	1774.182483
300	1773.859932
301	1773.447558
302	1772.338931
303	1771.579444
304	1770.492354
305	1769.758375
306	1769.009345
