iter	Passed	Remaining
707	1426	588
708	1428	586
709	1430	584
710	1432	582
711	1434	580
712	1436	578
713	1438	576
714	1440	574
715	1442	572
716	1444	570
717	1446	568
718	1448	566
719	1450	564
720	1452	562
721	1455	560
722	1457	558
723	1459	556
724	1461	554
725	1463	552
726	1465	550
727	1467	548
728	1468	546
729	1470	544
730	1473	542
731	1475	540
732	1477	538
733	1479	536
734	1481	534
735	1483	532
736	1485	530
737	1487	528
738	1489	526
739	1491	524
740	1493	521
741	1495	519
742	1497	517
743	1499	515
744	1501	513
745	1503	511
746	1505	509
747	1507	507
748	1509	505
749	1511	503
750	1513	501
751	1515	499
752	1517	497
753	1520	495
754	1522	493
755	1524	491
756	1526	489
757	1528	487
758	1530	485
759	1532	483
760	1534	481
761	1536	479
762	1538	477
763	1540	475
764	1542	473
765	1544	471
766	1546	469
767	1548	467
768	1550	465
769	1552	463
770	1554	461
771	1556	459
772	1557	457
773	1559	455
774	1561	453
775	1563	451
776	1566	449
777	1567	447
778	1569	445
779	1572	443
780	1573	441
781	1575	439
782	1578	437
783	1580	435
784	1582	433
785	1584	431
786	1586	429
787	1588	427
788	1590	425
789	1592	423
790	1594	421
791	1596	419
792	1598	417
793	1600	415
794	1602	413
795	1604	411
796	1606	409
797	1608	407
798	1610	405
799	1612	403
800	1614	401
801	1616	399
802	1618	397
803	1620	395
804	1622	393
805	1625	391
806	1627	389
807	1629	387
808	1631	385
809	1633	383
810	1634	380
811	1636	378
812	1638	376
813	1640	374
814	1642	372
815	1644	370
816	1646	368
817	1648	366
818	1650	364
819	1652	362
820	1654	360
821	1656	358
822	1658	356
823	1660	354
824	1662	352
825	1664	350
826	1666	348
827	1668	346
828	1670	344
829	1672	342
830	1674	340
831	1676	338
832	1678	336
833	1680	334
834	1682	332
835	1684	330
836	1686	328
837	1688	326
838	1690	324
839	1692	322
840	1694	320
841	1696	318
842	1698	316
843	1700	314
844	1702	312
845	1704	310
846	1706	308
847	1708	306
848	1710	304
849	1712	302
850	1714	300
851	1716	298
852	1718	296
853	1720	294
854	1722	292
855	1724	290
856	1726	288
857	1728	286
858	1730	284
859	1732	282
860	1734	280
861	1736	278
862	1738	276
863	1740	273
864	1742	271
865	1744	269
866	1746	267
867	1748	265
868	1750	263
869	1752	261
870	1754	259
871	1756	257
872	1758	255
873	1760	253
874	1762	251
875	1764	249
876	1766	247
877	1768	245
878	1770	243
879	1772	241
880	1774	239
881	1776	237
882	1778	235
883	1780	233
884	1782	231
885	1784	229
886	1786	227
887	1788	225
888	1790	223
889	1792	221
890	1794	219
891	1795	217
892	1797	215
893	1799	213
894	1801	211
895	1803	209
896	1805	207
897	1807	205
898	1809	203
899	1811	201
900	1813	199
901	1815	197
902	1817	195
903	1819	193
904	1821	191
905	1823	189
906	1825	187
907	1827	185
908	1829	183
909	1830	181
910	1833	179
911	1835	177
912	1837	175
913	1839	173
914	1841	171
915	1842	168
916	1845	166
917	1847	164
918	1848	162
919	1865	162
920	1868	160
921	1869	158
922	1871	156
923	1874	154
924	1875	152
925	1877	150
926	1879	148
927	1881	146
928	1883	143
929	1885	141
930	1887	139
931	1889	137
932	1891	135
933	1893	133
934	1895	131
935	1897	129
936	1899	127
937	1901	125
938	1903	123
939	1905	121
940	1907	119
941	1909	117
942	1911	115
943	1913	113
944	1915	111
945	1917	109
946	1919	107
947	1921	105
948	1923	103
949	1925	101
950	1927	99
951	1929	97
952	1931	95
953	1933	93
954	1935	91
955	1937	89
956	1939	87
957	1941	85
958	1943	83
959	1945	81
960	1947	79
961	1949	76
962	1951	74
963	1953	72
964	1955	70
965	1957	68
966	1959	66
967	1961	64
968	1963	62
969	1965	60
970	1967	58
971	1969	56
972	1971	54
973	1973	52
974	1975	50
975	1977	48
976	1979	46
977	1981	44
978	1983	42
979	1985	40
980	1987	38
981	1989	36
982	1991	34
983	1993	32
984	1995	30
985	1996	28
986	1999	26
987	2000	24
988	2002	22
989	2005	20
990	2007	18
991	2009	16
992	2011	14
993	2013	12
994	2014	10
995	2016	8
996	2018	6
997	2020	4
998	2022	2
999	2024	0
